wavenumber;E3-PBE;PB sigma;PBE modificado (E2-bis)
3,11355;1,224494621;0;9,027213417
3,11857;1,222995299;0;9,025417056
3,12358;1,221175958;0;9,025496943
3,1286;1,222859781;0;9,024882887
3,13362;1,219764172;0;9,025404535
3,13864;1,220679196;0;9,026414607
3,14365;1,22070112;0;9,025686461
3,14867;1,220266741;0;9,027029457
3,15369;1,218594554;0;9,027084792
3,15871;1,219066164;0;9,025953851
3,16372;1,21817411;0;9,027951152
3,16874;1,217598451;0;9,025951958
3,17376;1,217765905;0;9,025502806
3,17878;1,217708306;0;9,028560016
3,18379;1,219077428;0;9,029781532
3,18881;1,216925851;0;9,029847921
3,19383;1,216567534;0;9,029118737
3,19885;1,218116883;0;9,034305904
3,20386;1,217585213;0;9,036177144
3,20888;1,219514525;0;9,036993239
3,2139;1,216688421;0;9,042171244
3,21892;1,216426;0;9,04603441
3,22393;1,217469877;0;9,046332277
3,22895;1,218216101;0;9,052567199
3,23397;1,217763118;0;9,069156727
3,23898;1,217023769;0;9,086030135
3,244;1,217371333;0;9,097534981
3,24902;1,217396416;0;9,112903482
3,25404;1,216003721;0;9,110417087
3,25905;1,217965199;0;9,105518808
3,26407;1,216977783;0;9,100538078
3,26909;1,217765161;0;9,085258748
3,27411;1,217478563;0;9,06898999
3,27912;1,217778376;0;9,064752551
3,28414;1,219279649;0;9,06546042
3,28916;1,218563154;0;9,06583115
3,29418;1,218464308;0;9,067639604
3,29919;1,218375077;0;9,07130293
3,30421;1,218168187;0;9,081132467
3,30923;1,218673868;0;9,086443618
3,31425;1,219292307;0;9,090543025
3,31926;1,22030339;0;9,09593052
3,32428;1,219948626;0;9,099028895
3,3293;1,219230574;0;9,100203993
3,33432;1,222241272;0;9,110530688
3,33933;1,221471823;0;9,123189866
3,34435;1,222002541;0;9,150924993
3,34937;1,220421165;0;9,124606214
3,35439;1,220607779;0;9,082870684
3,3594;1,222001612;0;9,077292632
3,36442;1,222727397;0;9,077886289
3,36944;1,221287648;0;9,073013663
3,37446;1,220454702;0;9,069208641
3,37947;1,22007216;0;9,066840122
3,38449;1,220711502;0;9,065728543
3,38951;1,220335487;0;9,062556877
3,39453;1,220172052;0;9,072160434
3,39954;1,219778641;0;9,062421289
3,40456;1,220523611;0;9,054892843
3,40958;1,220076016;0;9,059559216
3,4146;1,221146393;0;9,057734333
3,41961;1,219927398;0;9,062845155
3,42463;1,221650726;0;9,057652552
3,42965;1,22222945;0;9,055065748
3,43467;1,222162214;0;9,055806231
3,43968;1,222689447;0;9,056648466
3,4447;1,223315481;0;9,055133542
3,44972;1,222663064;0;9,059493682
3,45474;1,224072156;0;9,057794309
3,45975;1,22278618;0;9,052528293
3,46477;1,224724085;0;9,055627584
3,46979;1,222948872;0;9,052637924
3,47481;1,221752011;0;9,053871533
3,47982;1,223822021;0;9,051430456
3,48484;1,223041146;0;9,052463736
3,48986;1,223341261;0;9,047296663
3,49488;1,22357537;0;9,047958908
3,49989;1,224765658;0;9,045327641
3,50491;1,224985136;0;9,047314559
3,50993;1,224996052;0;9,047388277
3,51495;1,224104903;0;9,045377235
3,51996;1,224716886;0;9,04346599
3,52498;1,225254083;0;9,04465483
3,53;1,224791438;0;9,049018756
3,53502;1,228776871;0;9,04834393
3,54003;1,226273899;0;9,050728451
3,54505;1,227107913;0;9,049378737
3,55007;1,231043645;0;9,051316855
3,55509;1,228094053;0;9,053470998
3,5601;1,22651126;0;9,052211066
3,56512;1,224304175;0;9,052340974
3,57014;1,225023457;0;9,050174249
3,57516;1,222355122;0;9,049098216
3,58017;1,222619122;0;9,04849265
3,58519;1,220988555;0;9,04754909
3,59021;1,222819601;0;9,04912967
3,59523;1,22145603;0;9,050408047
3,60024;1,222251143;0;9,053337059
3,60526;1,226196791;0;9,05550128
3,61028;1,224930092;0;9,061069742
3,6153;1,225616627;0;9,065502562
3,62031;1,225579235;0;9,06970763
3,62533;1,221936256;0;9,083571834
3,63035;1,222110793;0;9,073215213
3,63537;1,224330652;0;9,07467187
3,64038;1,223154043;0;9,086263444
3,6454;1,224202913;0;9,081917902
3,65042;1,222226594;0;9,070056373
3,65544;1,21957498;0;9,069648997
3,66045;1,219152608;0;9,104960576
3,66547;1,220155887;0;9,062511681
3,67049;1,219859999;0;9,06382481
3,67551;1,220513531;0;9,063722203
3,68052;1,219980909;0;9,060562569
3,68554;1,218849636;0;9,060943438
3,69056;1,220064659;0;9,064648112
3,69558;1,220087698;0;9,06742706
3,70059;1,221480579;0;9,06874813
3,70561;1,218305215;0;9,077014127
3,71063;1,219858745;0;9,084456822
3,71565;1,219216756;0;9,093361672
3,72066;1,218479845;0;9,103111811
3,72568;1,221186944;0;9,116322505
3,7307;1,220725902;0;9,142312696
3,73572;1,220880651;0;9,17601737
3,74073;1,221166715;0;9,207420708
3,74575;1,221215116;0;9,201721116
3,75077;1,221653467;0;9,180068527
3,75579;1,222720012;0;9,147568878
3,7608;1,222848772;0;9,105226255
3,76582;1,220272431;0;9,103467273
3,77084;1,221662176;0;9,109706164
3,77586;1,22249863;0;9,127901863
3,78087;1,222948292;0;9,103031802
3,78589;1,224227764;0;9,09095834
3,79091;1,224050324;0;9,089190196
3,79593;1,223623446;0;9,090742743
3,80094;1,225650768;0;9,09173156
3,80596;1,224264924;0;9,103287099
3,81098;1,225205775;0;9,09600259
3,816;1,226490821;0;9,097073859
3,82101;1,226586277;0;9,093083167
3,82603;1,226632495;0;9,08966903
3,83105;1,225690019;0;9,08577667
3,83607;1,226850114;0;9,083176063
3,84108;1,227630247;0;9,076118756
3,8461;1,227855298;0;9,070970678
3,85112;1,229212343;0;9,067742822
3,85614;1,229853356;0;9,065297347
3,86115;1,232193753;0;9,072120735
3,86617;1,22776681;0;9,057599966
3,87119;1,227686684;0;9,05741967
3,87621;1,22856529;0;9,055353232
3,88122;1,225396221;0;9,055442952
3,88624;1,225020903;0;9,062178818
3,89126;1,224875978;0;9,053661188
3,89628;1,225235967;0;9,050216208
3,90129;1,22463792;0;9,049836012
3,90631;1,225204381;0;9,051305495
3,91133;1,225766429;0;9,047341004
3,91635;1,227002936;0;9,046236998
3,92136;1,225365564;0;9,048665005
3,92638;1,226537736;0;9,049356933
3,9314;1,22544871;0;9,051650329
3,93642;1,227082598;0;9,05197513
3,94143;1,22612549;0;9,052509299
3,94645;1,226210262;0;9,054262846
3,95147;1,227809312;0;9,054363071
3,95649;1,230318788;0;9,05729135
3,9615;1,231034122;0;9,057224533
3,96652;1,230747524;0;9,060013742
3,97154;1,229628769;0;9,058200341
3,97656;1,231053167;0;9,055275421
3,98157;1,232974815;0;9,055397634
3,98659;1,233251658;0;9,05596912
3,99161;1,230353626;0;9,058962444
3,99663;1,22847448;0;9,057151059
4,00164;1,22869419;0;9,053312201
4,00666;1,228176269;0;9,057693229
4,01168;1,227300682;0;9,051658024
4,0167;1,227734063;0;9,05052287
4,02171;1,228169302;0;9,047922873
4,02673;1,227268399;0;9,050311181
4,03175;1,22780188;5,36E-05;9,045709731
4,03677;1,228089407;7,92E-05;9,042902444
4,04178;1,232881217;0,000117364;9,040780976
4,0468;1,225834479;2,46E-05;9,03903146
4,05182;1,226219784;4,67E-05;9,039496064
4,05683;1,234142807;0,000138041;9,038126317
4,06185;1,227304862;0,000159964;9,037270034
4,06687;1,229596022;0,000116937;9,037972406
4,07189;1,23878644;0;9,035886362
4,0769;1,228131677;0;9,037309611
4,08192;1,232556298;0;9,033384759
4,08694;1,242513842;0;9,032894443
4,09196;1,231091721;0;9,029280039
4,09697;1,235719329;0;9,030414705
4,10199;1,241853552;0;9,027794675
4,10701;1,232459681;0;9,027876883
4,11203;1,230339226;0;9,022790675
4,11704;1,228543227;0;9,02598158
4,12206;1,231667007;0;9,024161887
4,12708;1,231562262;0;9,023715057
4,1321;1,240278191;0;9,026888555
4,13711;1,229168912;0;9,024950987
4,14213;1,227092817;0;9,025805803
4,14715;1,229626911;0;9,026517703
4,15217;1,231121217;0;9,027942296
4,15718;1,232171225;0;9,027076668
4,1622;1,231882072;0;9,026866995
4,16722;1,230722209;0;9,026735438
4,17224;1,22969798;0;9,025771723
4,17725;1,228266848;0;9,02135289
4,18227;1,228402947;0;9,019047951
4,18729;1,227904071;0;9,016716443
4,19231;1,226550975;0;9,018409892
4,19732;1,224275144;0;9,013570002
4,20234;1,228758988;0;9,014706745
