Fecha de reacion,Tipo de orden,Cripto,Fiat,Precio total,Precio,Monto
"	2023/03/04","	Vender","	USDT","	ARS",30000,364.19,82.37458469
"	2023/03/02","	Vender","	USDT","	USD",60,1.04,57.69230769
"	2023/02/27","	Vender","	USDT","	USD",320,1.04,307.6923077
"	2023/02/25","	Vender","	USDT","	USD",200,1.04,192.3076923
"	2023/02/24","	Vender","	USDT","	USD",300,1.04,288.4615385
"	2023/02/22","	Vender","	USDT","	USD",34.1,1.04,32.78846154
"	2023/02/21","	Vender","	USDT","	USD",30,1.04,28.84615385
"	2023/02/18","	Vender","	USDT","	USD",100,1.04,96.15384615
"	2023/02/14","	Vender","	USDT","	USD",330,1.04,317.3076923
"	2023/02/14","	Vender","	USDT","	USD",75.45,1.04,72.54807692
"	2023/02/12","	Vender","	USDT","	USD",10,1.04,9.61538462
"	2023/02/12","	Vender","	USDT","	USD",10,1.04,9.61538462
"	2023/02/10","	Vender","	USDT","	USD",12,1.04,11.53846154
"	2023/02/08","	Vender","	USDT","	USD",26,1.04,25
"	2023/02/07","	Vender","	USDT","	USD",20,1.04,19.23076923
"	2023/02/05","	Vender","	USDT","	USD",26.5,1.04,25.48076923
